Date,USD/CAD Close,USD/CAD High,USD/CAD Low
2000-08-11,1.4823,1.4852,1.481
2000-08-14,1.4853,1.4855,1.4822
2000-08-15,1.4849,1.4891,1.484
2000-08-16,1.4777,1.4848,1.4757
2000-08-17,1.4743,1.4781,1.4739
2000-08-18,1.4753,1.4777,1.4708
2000-08-21,1.4772,1.479,1.4725
2000-08-22,1.476,1.4791,1.4737
2000-08-23,1.4865,1.4886,1.4764
2000-08-24,1.4872,1.4877,1.4826
2000-08-25,1.4847,1.4879,1.4803
2000-08-28,1.4828,1.4858,1.4824
2000-08-29,1.4861,1.4886,1.4819
2000-08-30,1.4765,1.4862,1.4761
2000-08-31,1.4715,1.4772,1.4713
2000-09-01,1.4731,1.4751,1.4684
2000-09-04,1.4737,1.474,1.472
2000-09-05,1.475,1.4765,1.4712
2000-09-06,1.4812,1.4845,1.476
2000-09-07,1.4769,1.4845,1.4769
2000-09-08,1.4768,1.4789,1.4752
2000-09-11,1.48,1.4806,1.4758
2000-09-12,1.4816,1.4827,1.4781
2000-09-13,1.483,1.4846,1.4768
2000-09-14,1.4874,1.4935,1.483
2000-09-15,1.4839,1.4894,1.4838
2000-09-18,1.488,1.4909,1.4825
2000-09-19,1.4858,1.4885,1.4854
2000-09-20,1.4834,1.4849,1.4795
2000-09-21,1.4869,1.4882,1.4825
2000-09-22,1.4889,1.4924,1.4845
2000-09-25,1.4871,1.4916,1.4856
2000-09-26,1.4876,1.4896,1.4849
2000-09-27,1.4969,1.4976,1.4856
2000-09-28,1.5006,1.5042,1.4952
2000-09-29,1.5041,1.5084,1.4997
2000-10-02,1.5086,1.5116,1.502
2000-10-03,1.5048,1.5098,1.5032
2000-10-04,1.4963,1.5052,1.4951
2000-10-05,1.4962,1.4997,1.4941
2000-10-06,1.5027,1.5038,1.4924
2000-10-09,1.503,1.504,1.5
2000-10-10,1.5005,1.5035,1.4983
2000-10-11,1.5034,1.5049,1.5
2000-10-12,1.5099,1.5117,1.5045
2000-10-13,1.5069,1.5209,1.5069
2000-10-16,1.52,1.5205,1.507
2000-10-17,1.5205,1.5242,1.5131
2000-10-18,1.5153,1.5218,1.5144
2000-10-19,1.5112,1.517,1.5087
2000-10-20,1.5135,1.5149,1.5085
2000-10-23,1.509,1.514,1.5071
2000-10-24,1.5128,1.5142,1.51
2000-10-25,1.5176,1.5234,1.5137
2000-10-26,1.5241,1.5248,1.5128
2000-10-27,1.5279,1.53,1.521
2000-10-30,1.5311,1.5316,1.5241
2000-10-31,1.5234,1.5325,1.5214
2000-11-01,1.5314,1.5318,1.521
2000-11-02,1.5307,1.5394,1.5302
2000-11-03,1.5322,1.5362,1.5273
2000-11-06,1.5303,1.5325,1.5285
2000-11-07,1.5322,1.5327,1.5287
2000-11-08,1.5415,1.5446,1.5325
2000-11-09,1.5487,1.5491,1.5387
2000-11-10,1.544,1.5493,1.5414
2000-11-13,1.5425,1.5485,1.542
2000-11-14,1.5449,1.5456,1.5418
2000-11-15,1.553,1.5535,1.5441
2000-11-16,1.555,1.5557,1.5485
2000-11-17,1.5569,1.5628,1.5537
2000-11-20,1.5579,1.5611,1.5555
2000-11-21,1.5504,1.5582,1.5492
2000-11-22,1.5475,1.5515,1.5455
2000-11-23,1.5435,1.5489,1.5428
2000-11-24,1.5378,1.5459,1.5378
2000-11-27,1.5364,1.5403,1.5334
2000-11-28,1.5363,1.5392,1.5284
2000-11-29,1.5415,1.542,1.534
2000-11-30,1.5347,1.5455,1.5313
2000-12-01,1.5467,1.5479,1.5284
2000-12-04,1.5435,1.554,1.542
2000-12-05,1.5429,1.5471,1.5409
2000-12-06,1.5274,1.543,1.526
2000-12-07,1.5274,1.5316,1.5213
2000-12-08,1.5208,1.533,1.5178
2000-12-11,1.5242,1.5249,1.5156
2000-12-12,1.5282,1.5298,1.5226
2000-12-13,1.5202,1.5292,1.5186
2000-12-14,1.5161,1.5222,1.5124
2000-12-15,1.521,1.5215,1.5162
2000-12-18,1.5274,1.5279,1.52
2000-12-19,1.5204,1.5278,1.5199
2000-12-20,1.5215,1.5276,1.5202
2000-12-21,1.5208,1.524,1.5144
2000-12-22,1.5158,1.5222,1.5156
2000-12-25,1.4769,1.4769,1.4769
2000-12-26,1.5103,1.5175,1.5088
2000-12-27,1.511,1.5136,1.5088
2000-12-28,1.5013,1.513,1.4991
2000-12-29,1.4996,1.5035,1.4945
2001-01-01,1.4996,1.4996,1.4996
2001-01-02,1.4922,1.4998,1.4911
2001-01-03,1.4987,1.4991,1.4902
2001-01-04,1.4982,1.502,1.491
2001-01-05,1.4987,1.5054,1.4967
2001-01-08,1.4944,1.4987,1.4921
2001-01-09,1.4969,1.4985,1.4927
2001-01-10,1.5018,1.5033,1.4934
2001-01-11,1.4945,1.5025,1.4929
2001-01-12,1.4976,1.502,1.4931
2001-01-15,1.5025,1.5065,1.5
2001-01-16,1.5066,1.5068,1.4989
2001-01-17,1.5116,1.5132,1.5047
2001-01-18,1.5135,1.5174,1.509
2001-01-19,1.5128,1.5156,1.5067
2001-01-22,1.5029,1.5118,1.5018
2001-01-23,1.5106,1.5116,1.5004
