Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2001-09-10,0.9001,0.9075,0.8979
2001-09-11,0.915,0.9165,0.895
2001-09-12,0.907,0.915,0.901
2001-09-13,0.9121,0.9123,0.9045
2001-09-14,0.9218,0.925,0.908
2001-09-17,0.9258,0.9335,0.9172
2001-09-18,0.9251,0.926,0.9185
2001-09-19,0.93,0.9325,0.923
2001-09-20,0.9257,0.9295,0.923
2001-09-21,0.9132,0.9275,0.9091
2001-09-24,0.9163,0.9197,0.9105
2001-09-25,0.9229,0.9249,0.9145
2001-09-26,0.9234,0.9245,0.9195
2001-09-27,0.9174,0.923,0.9175
2001-09-28,0.9101,0.918,0.9085
2001-10-01,0.9169,0.9176,0.906
2001-10-02,0.9188,0.9195,0.9135
2001-10-03,0.913,0.9232,0.9127
2001-10-04,0.9156,0.9165,0.9113
2001-10-05,0.917,0.9205,0.9155
2001-10-08,0.92,0.9245,0.9165
2001-10-09,0.9135,0.9225,0.9133
2001-10-10,0.9106,0.9158,0.9104
2001-10-11,0.9033,0.9125,0.8991
2001-10-12,0.9091,0.9123,0.901
2001-10-15,0.9083,0.9135,0.9071
2001-10-16,0.9086,0.9112,0.9039
2001-10-17,0.903,0.9092,0.901
2001-10-18,0.9042,0.9057,0.9
2001-10-19,0.8991,0.904,0.8966
2001-10-22,0.8925,0.9,0.8895
2001-10-23,0.8906,0.8925,0.887
2001-10-24,0.8934,0.8945,0.89
2001-10-25,0.8938,0.8979,0.888
2001-10-26,0.8919,0.895,0.8904
2001-10-29,0.9035,0.9051,0.892
2001-10-30,0.9049,0.91,0.9035
2001-10-31,0.9,0.9075,0.8986
2001-11-01,0.9037,0.9119,0.8995
2001-11-02,0.9024,0.9073,0.9015
2001-11-05,0.8975,0.9015,0.8945
2001-11-06,0.8973,0.8995,0.8956
2001-11-07,0.8954,0.9045,0.8938
2001-11-08,0.8939,0.8985,0.8907
2001-11-09,0.8935,0.8946,0.889
2001-11-12,0.895,0.9014,0.8915
2001-11-13,0.8813,0.894,0.8791
2001-11-14,0.8832,0.8843,0.878
2001-11-15,0.8814,0.8853,0.8805
2001-11-16,0.8846,0.8865,0.881
2001-11-19,0.8796,0.885,0.8766
2001-11-20,0.8828,0.8842,0.878
2001-11-21,0.8782,0.8835,0.8754
2001-11-22,0.878,0.879,0.876
2001-11-23,0.8784,0.8812,0.8735
2001-11-26,0.8804,0.883,0.8775
2001-11-27,0.8822,0.884,0.8772
2001-11-28,0.8877,0.8885,0.882
2001-11-29,0.8888,0.8919,0.8855
2001-11-30,0.896,0.8982,0.8845
2001-12-03,0.8919,0.8965,0.889
2001-12-04,0.8901,0.8923,0.8885
2001-12-05,0.8869,0.894,0.8846
2001-12-06,0.8951,0.8953,0.886
2001-12-07,0.8897,0.895,0.8885
2001-12-10,0.8897,0.8915,0.8844
2001-12-11,0.8916,0.8925,0.8884
2001-12-12,0.8982,0.8993,0.892
2001-12-13,0.8935,0.8992,0.8918
2001-12-14,0.9041,0.9054,0.892
2001-12-17,0.9026,0.908,0.9015
2001-12-18,0.9028,0.904,0.8995
2001-12-19,0.9001,0.9035,0.8955
2001-12-20,0.9,0.9013,0.8965
2001-12-21,0.887,0.9013,0.8855
2001-12-24,0.8767,0.8905,0.8741
2001-12-25,0.879,0.88,0.877
2001-12-26,0.8786,0.8815,0.8765
2001-12-27,0.8829,0.8871,0.8778
2001-12-28,0.8839,0.8844,0.8792
2001-12-31,0.8904,0.8921,0.8825
2002-01-01,0.8904,0.8904,0.8904
2002-01-02,0.9039,0.9065,0.888
2002-01-03,0.8999,0.906,0.8975
2002-01-04,0.8953,0.9,0.894
2002-01-07,0.8933,0.8995,0.8884
2002-01-08,0.8925,0.8935,0.888
2002-01-09,0.8907,0.8951,0.8867
2002-01-10,0.8917,0.8939,0.89
2002-01-11,0.8922,0.893,0.8896
2002-01-14,0.8943,0.8955,0.892
2002-01-15,0.8844,0.8945,0.883
2002-01-16,0.8827,0.8845,0.8805
2002-01-17,0.8815,0.885,0.879
2002-01-18,0.8847,0.8849,0.8795
2002-01-21,0.8835,0.8865,0.883
2002-01-22,0.8858,0.8861,0.8811
2002-01-23,0.8776,0.889,0.876
2002-01-24,0.8767,0.8794,0.8753
2002-01-25,0.8648,0.8785,0.8632
2002-01-28,0.8613,0.866,0.8574
2002-01-29,0.8647,0.8656,0.8595
2002-01-30,0.8616,0.8675,0.8601
2002-01-31,0.8588,0.864,0.8578
2002-02-01,0.8619,0.8644,0.8565
2002-02-04,0.8701,0.8709,0.8605
2002-02-05,0.8674,0.8731,0.8651
2002-02-06,0.8687,0.8707,0.8634
2002-02-07,0.871,0.8717,0.8645
2002-02-08,0.8724,0.8753,0.87
2002-02-11,0.8766,0.8802,0.8605
2002-02-12,0.8763,0.88,0.874
2002-02-13,0.8713,0.877,0.8709
2002-02-14,0.8737,0.8744,0.8682
2002-02-15,0.8727,0.8741,0.8697
2002-02-18,0.871,0.874,0.87
2002-02-19,0.8759,0.8784,0.8665
2002-02-20,0.8703,0.8785,0.869
2002-02-21,0.8687,0.872,0.8681
2002-02-22,0.8757,0.8775,0.8683
2002-02-25,0.8689,0.8745,0.8689
2002-02-26,0.8638,0.872,0.8616
2002-02-27,0.8656,0.8667,0.8625
2002-02-28,0.8688,0.8698,0.8635
2002-03-01,0.8651,0.8695,0.8632
2002-03-04,0.8693,0.8715,0.863
2002-03-05,0.8717,0.872,0.8651
2002-03-06,0.8761,0.8774,0.8699
2002-03-07,0.8835,0.8839,0.8755
2002-03-08,0.8735,0.8825,0.8721
2002-03-11,0.8753,0.877,0.8735
2002-03-12,0.8763,0.8762,0.8705
2002-03-13,0.8765,0.8784,0.8725
2002-03-14,0.8824,0.8845,0.8755
2002-03-15,0.8825,0.8871,0.8809
2002-03-18,0.8821,0.883,0.8784
2002-03-19,0.8828,0.8841,0.8797
2002-03-20,0.8843,0.886,0.8785
2002-03-21,0.8818,0.886,0.8806
2002-03-22,0.8767,0.883,0.8748
2002-03-25,0.8772,0.878,0.8753
2002-03-26,0.8768,0.8796,0.8733
2002-03-27,0.8727,0.877,0.872
2002-03-28,0.8709,0.874,0.87
2002-03-29,0.8716,0.8728,0.8703
2002-04-01,0.8807,0.8822,0.8715
2002-04-02,0.8789,0.8816,0.8775
2002-04-03,0.8809,0.8831,0.8775
