Date,GBP/JPY Close,GBP/JPY High,GBP/JPY Low
2014-05-01,172.756,172.94,172.299
2014-05-02,172.48,173.461,172.301
2014-05-05,172.21,172.55,171.696
2014-05-06,172.56,172.95,172.122
2014-05-07,172.643,172.98,172.087
2014-05-08,172.014,172.87,171.82
2014-05-09,171.534,172.302,171.149
2014-05-12,172.337,172.508,171.478
2014-05-13,172.05,172.74,171.834
2014-05-14,170.655,172.36,170.523
2014-05-15,170.514,171.08,170.13
2014-05-16,170.775,171,170.14
2014-05-19,170.56,170.99,169.91
2014-05-20,170.66,170.947,170.296
2014-05-21,171.392,171.49,169.78
2014-05-22,171.665,171.87,171.13
2014-05-23,171.6,171.795,171.196
2014-05-26,171.643,171.8,171.354
2014-05-27,171.399,171.99,171.233
2014-05-28,170.206,171.52,169.806
2014-05-29,170.053,170.21,169.47
2014-05-30,170.636,170.71,169.698
2014-06-02,171.51,171.621,170.374
2014-06-03,171.671,171.815,171.208
2014-06-04,171.954,172.08,171.277
2014-06-05,172.275,172.312,171.5
2014-06-06,172.33,172.51,171.74
2014-06-09,172.172,172.538,171.924
2014-06-10,171.469,172.34,171.275
2014-06-11,171.322,171.81,170.889
2014-06-12,171.04,171.916,170.948
2014-06-13,173.096,173.37,172.035
2014-06-16,172.943,173.3,172.6
2014-06-17,173.215,173.47,172.753
2014-06-18,173.07,173.795,172.78
2014-06-19,173.679,173.785,172.91
2014-06-20,173.711,174.093,173.458
2014-06-23,173.471,173.83,173.08
2014-06-24,173.06,173.77,172.866
2014-06-25,172.942,173.21,172.62
2014-06-26,173.097,173.45,172.554
2014-06-27,172.692,173.13,172.376
2014-06-30,173.394,173.43,172.305
2014-07-01,174.161,174.286,173.179
2014-07-02,174.755,174.802,173.9
2014-07-03,175.24,175.366,174.419
2014-07-04,175.052,175.39,174.751
2014-07-07,174.446,175.254,174.24
2014-07-08,173.91,174.57,173.65
2014-07-09,174.259,174.395,173.722
2014-07-10,173.578,174.36,172.9
2014-07-11,173.42,173.805,173.132
2014-07-14,173.45,174.009,173.27
2014-07-15,174.318,174.55,173.203
2014-07-16,174.299,174.434,174.02
2014-07-17,173.219,174.27,173.161
2014-07-18,173.162,173.583,172.684
2014-07-21,173.125,173.29,172.808
2014-07-22,173.108,173.475,172.984
2014-07-23,172.91,173.333,172.614
2014-07-24,172.93,173.068,172.641
2014-07-25,172.874,173.169,172.659
2014-07-28,173.009,173.09,172.7
2014-07-29,173.004,173.207,172.732
2014-07-30,173.915,174.22,172.92
2014-07-31,173.643,174,173.41
2014-08-01,172.586,173.846,172.393
2014-08-04,172.901,172.91,172.459
2014-08-05,173.162,173.503,172.785
2014-08-06,171.957,173.28,171.583
2014-08-07,171.738,172.62,171.71
2014-08-08,171.24,171.911,170.713
2014-08-11,171.606,171.62,171.242
2014-08-12,171.862,171.972,171.391
2014-08-13,170.98,172.599,170.867
2014-08-14,170.93,171.23,170.664
2014-08-15,170.849,171.453,170.435
2014-08-18,171.526,171.678,170.913
2014-08-19,170.994,171.641,170.71
2014-08-20,172.185,172.237,170.999
2014-08-21,172.138,172.395,171.892
2014-08-22,172.258,172.627,171.627
2014-08-25,172.409,172.99,172.311
2014-08-26,172.227,172.59,172.136
2014-08-27,172.178,172.535,172.075
2014-08-28,171.95,172.292,171.684
2014-08-29,172.716,172.74,171.95
2014-09-01,173.255,173.415,172.65
2014-09-02,173.148,173.954,173.128
2014-09-03,172.481,173.375,172.427
2014-09-04,171.784,172.774,171.765
2014-09-05,171.54,172.258,170.973
2014-09-08,170.758,171.104,169.353
2014-09-09,171.068,171.53,170.55
2014-09-10,173.01,173.268,171.02
2014-09-11,173.704,174.12,172.786
2014-09-12,174.474,174.515,173.707
2014-09-15,173.958,174.63,173.85
2014-09-16,174.409,174.466,172.995
2014-09-17,176.168,176.22,174.157
2014-09-18,178.089,178.37,176.225
2014-09-19,177.706,180.71,177.559
2014-09-22,177.964,178.355,177.546
2014-09-23,178.571,178.74,176.649
2014-09-24,178.112,178.439,177.644
2014-09-25,177.284,178.497,177.143
2014-09-26,177.573,178.105,177.156
2014-09-29,177.84,178.18,177.23
2014-09-30,177.781,178.11,177.37
2014-10-01,176.48,178.13,176.38
2014-10-02,174.95,176.65,174.33
2014-10-03,175.309,175.905,174.982
2014-10-06,174.95,175.438,174.477
2014-10-07,173.858,175.145,173.702
2014-10-08,174.87,174.905,173.449
2014-10-09,173.928,175.005,173.589
2014-10-10,172.94,174.001,172.745
2014-10-13,172.14,173.025,172.133
2014-10-14,170.208,172.48,169.935
2014-10-15,169.372,171.15,168.029
2014-10-16,171.072,171.075,168.472
2014-10-17,171.995,172.025,170.207
2014-10-20,172.753,173.002,172.235
2014-10-21,172.29,172.87,171.8
2014-10-22,172.015,172.605,171.079
2014-10-23,173.311,173.665,171.714
2014-10-24,173.85,174.02,172.98
2014-10-27,173.728,174.33,173.4
2014-10-28,174.485,174.745,173.705
2014-10-29,174.237,174.687,174.006
2014-10-30,174.83,175.162,173.998
2014-10-31,179.57,179.6,174.679
2014-11-03,181.87,182.525,179.672
2014-11-04,181.726,182.155,181.135
2014-11-05,183.235,183.443,181.528
2014-11-06,182.326,184.325,181.876
2014-11-07,181.932,182.865,181.235
2014-11-10,182.051,182.254,181.088
2014-11-11,183.692,184.038,181.775
2014-11-12,182.438,184.666,181.98
2014-11-13,181.81,182.784,181.554
2014-11-14,182.288,182.663,181.61
2014-11-17,182.11,183.384,181.108
2014-11-18,182.782,183.334,182.258
2014-11-19,184.887,185.019,182.539
2014-11-20,185.216,186.127,184.908
2014-11-21,184.269,185.7,183.984
2014-11-24,185.752,186.01,184.063
2014-11-25,185.293,186.079,184.535
2014-11-26,185.99,186.108,184.783
2014-11-27,185.155,185.941,185.025
2014-11-28,185.42,185.92,185.233
2014-12-01,186.22,186.34,185.052
2014-12-02,186.496,186.929,186.04
2014-12-03,187.93,188.191,186.282
2014-12-04,187.78,188.235,187.615
2014-12-05,189.156,189.709,187.301
2014-12-08,188.701,189.69,188.441
2014-12-09,187.464,189.212,185.202
2014-12-10,185.368,187.831,184.981
2014-12-11,187.368,187.758,184.984
2014-12-12,186.46,187.36,185.613
2014-12-15,184.04,187.052,183.85
2014-12-16,184.262,185.093,181.642
2014-12-17,184.88,185.03,183.15
2014-12-18,186.101,186.728,184.436
2014-12-19,186.951,187.25,186.05
2014-12-22,186.843,187.548,186.519
2014-12-23,187.23,187.483,186.498
2014-12-24,187.399,187.47,186.642
2014-12-25,187.08,187.47,186.67
2014-12-26,187.257,187.451,186.88
2014-12-29,187.24,187.8,187.06
2014-12-30,185.917,187.29,184.975
2014-12-31,186.67,187,185.72
2015-01-01,186.43,186.63,186.39
2015-01-02,184.7,187.31,184.31
2015-01-05,182.553,184.68,181.724
2015-01-06,179.85,182.46,179.26
2015-01-07,179.966,180.749,179.123
2015-01-08,180.51,180.94,180
2015-01-09,179.746,180.92,179.481
2015-01-12,179.45,180.55,179.035
2015-01-13,178.638,180.092,178.115
2015-01-14,178.61,178.87,176.88
2015-01-15,176.727,179.581,176.557
2015-01-16,178.246,178.313,175.815
2015-01-19,177.799,178.366,177.005
2015-01-20,179.946,180.277,177.544
2015-01-21,178.306,179.951,177.066
2015-01-22,177.74,179.23,177.23
2015-01-23,176.608,178.55,176.169
2015-01-26,178.6,178.87,175.78
2015-01-27,179.04,179.42,177.86
2015-01-28,178.08,179.39,177.96
2015-01-29,178.315,178.943,177.712
2015-01-30,176.829,178.567,176.144
2015-02-02,176.585,177.728,176.05
2015-02-03,178.25,178.4,175.5
2015-02-04,178.36,179.292,177.731
2015-02-05,180.292,180.402,177.749
2015-02-06,181.057,181.803,179.541
2015-02-09,180.45,181.76,180.17
2015-02-10,182.102,182.257,180.23
2015-02-11,183.44,183.96,182.02
2015-02-12,183.091,184.175,181.111
2015-02-13,182.885,183.354,182.494
2015-02-16,182.257,183.213,182.034
2015-02-17,183.208,183.395,181.593
2015-02-18,183.191,184.205,182.608
2015-02-19,183.344,184.033,183.038
2015-02-20,183.342,183.667,181.674
2015-02-23,183.707,184.016,182.615
2015-02-24,183.8,184.858,183.552
2015-02-25,184.523,184.67,183.544
2015-02-26,184.038,185.027,183.608
2015-02-27,184.635,185.01,183.553
2015-03-02,184.57,184.92,184.17
2015-03-03,183.941,184.725,183.666
2015-03-04,182.738,184,182.543
2015-03-05,183.014,183.716,182.402
2015-03-06,181.636,183.268,181.51
2015-03-09,183.398,183.6,181.515
2015-03-10,182.422,183.919,182.365
2015-03-11,181.315,183.145,180.799
2015-03-12,180.49,181.79,180.212
2015-03-13,178.975,180.758,178.245
2015-03-16,180.07,180.2,178.73
2015-03-17,178.918,180.142,178.558
2015-03-18,180.018,181.042,177.167
2015-03-19,177.84,179.91,177.74
2015-03-20,179.439,180.094,177.953
2015-03-23,179.134,179.685,178.163
2015-03-24,177.773,179.218,177.52
2015-03-25,177.734,178.383,177.63
2015-03-26,177.187,177.922,176.496
2015-03-27,177.18,177.934,176.715
2015-03-30,177.789,178.203,176.695
2015-03-31,177.983,178.318,177.117
2015-04-01,177.36,178.435,176.798
2015-04-02,177.454,177.953,176.785
2015-04-03,177.41,178.02,177.03
2015-04-06,177.918,178.289,177.206
2015-04-07,178.373,179.189,177.814
2015-04-08,178.584,179.297,177.644
2015-04-09,177.393,179.088,177.119
2015-04-10,175.941,177.536,175.688
2015-04-13,176.204,176.537,175.31
2015-04-14,176.449,176.621,174.883
