Date,GBP/CHF Close,GBP/CHF High,GBP/CHF Low
2005-08-18,2.2793,2.2848,2.2748
2005-08-19,2.289,2.2899,2.2768
2005-08-22,2.2863,2.2932,2.2844
2005-08-23,2.2888,2.2922,2.2821
2005-08-24,2.2777,2.2929,2.2762
2005-08-25,2.265,2.2778,2.2621
2005-08-26,2.2671,2.2714,2.2623
2005-08-29,2.2755,2.2777,2.2611
2005-08-30,2.2666,2.2766,2.2649
2005-08-31,2.261,2.2682,2.2581
2005-09-01,2.2631,2.2687,2.2565
2005-09-02,2.2645,2.2657,2.2532
2005-09-05,2.2725,2.274,2.258
2005-09-06,2.2805,2.2838,2.2615
2005-09-07,2.2822,2.2855,2.2717
2005-09-08,2.2846,2.2914,2.2783
2005-09-09,2.2875,2.291,2.2781
2005-09-12,2.2909,2.2988,2.2838
2005-09-13,2.2999,2.3019,2.2857
2005-09-14,2.2938,2.301,2.2932
2005-09-15,2.2881,2.3015,2.2851
2005-09-16,2.2939,2.296,2.2839
2005-09-19,2.3037,2.308,2.2956
2005-09-20,2.3043,2.3082,2.3005
2005-09-21,2.3001,2.3059,2.294
2005-09-22,2.2915,2.3016,2.2859
2005-09-23,2.2946,2.2979,2.2884
2005-09-26,2.293,2.2983,2.2876
2005-09-27,2.2891,2.2958,2.2871
2005-09-28,2.2855,2.2924,2.2807
2005-09-29,2.278,2.2872,2.2763
2005-09-30,2.2824,2.2852,2.2741
2005-10-03,2.2855,2.2908,2.2782
2005-10-04,2.2895,2.293,2.2825
2005-10-05,2.282,2.2905,2.279
2005-10-06,2.2597,2.2815,2.2572
2005-10-07,2.252,2.2626,2.2494
2005-10-10,2.253,2.255,2.2441
2005-10-11,2.2526,2.2572,2.2497
2005-10-12,2.2535,2.2569,2.2506
2005-10-13,2.2645,2.2734,2.2523
2005-10-14,2.271,2.2713,2.2582
2005-10-17,2.2641,2.2768,2.2634
2005-10-18,2.2747,2.2799,2.2658
2005-10-19,2.285,2.2856,2.2713
2005-10-20,2.2848,2.2929,2.2824
2005-10-21,2.2825,2.2878,2.2779
2005-10-24,2.276,2.2885,2.2743
2005-10-25,2.2774,2.2858,2.2756
2005-10-26,2.277,2.2795,2.2732
2005-10-27,2.2719,2.2823,2.2696
2005-10-28,2.2708,2.2753,2.2648
2005-10-31,2.2812,2.2863,2.2713
2005-11-01,2.274,2.2853,2.2721
2005-11-02,2.271,2.2742,2.2657
2005-11-03,2.288,2.2901,2.2676
2005-11-04,2.2871,2.2888,2.2777
2005-11-07,2.2775,2.2904,2.2765
2005-11-08,2.2841,2.2881,2.2772
2005-11-09,2.2835,2.2892,2.2805
2005-11-10,2.2898,2.2891,2.2913
2005-11-11,2.287,2.2915,2.2835
